# Каждая запись относится к предыдущему диапазону
# t[N-1] - t[N]
# Algorithm и FAs - из файла MCUFINs.txt
# Формат времени dd.mm.YYYY HH:MM:SS
t	N(W)	Algorithm	FAs
01.08.2022 19:42:01	2.7348297655785148	P+M	241
01.08.2022 19:43:51	0.18311962820336455	P+M	241
02.08.2022 09:23:25	0.00585841588565413	P+M	241
02.08.2022 09:30:52	0.013055601101043429	M2_Up	241
02.08.2022 09:34:25	0.430063365318349	M2_Up	241
02.08.2022 09:37:41	0.060116064449279145	M2_Up	241
02.08.2022 09:52:41	0.4393830622744172	M2_Up	241
02.08.2022 09:58:41	0.0766561522892871	M2_Up	241
02.08.2022 10:03:31	0.57711483670186	M2_Up	241
02.08.2022 10:03:35	1.019260369939867	M2_Up	241
02.08.2022 10:06:58	0.4309067872796497	M2_Up	241
02.08.2022 10:07:03	1.0241793301423292	M2_Up	241
02.08.2022 10:12:15	0.47835936217790115	M2_Up	241
02.08.2022 10:12:49	1.177167688353045	M2_Up	241
02.08.2022 10:13:37	0.3013380918703414	M2_Up	241
02.08.2022 10:17:33	0.09772045027395501	M2_Up	241
02.08.2022 10:21:57	0.5728741603934308	M2_Up	241
02.08.2022 10:22:22	1.18345716573068	M2_Up	241
02.08.2022 10:23:54	0.5598596104917828	M2_Up	241
02.08.2022 10:24:11	1.101318354809141	M2_Up	241
02.08.2022 10:25:55	0.6237126392710753	M2_Up	241
02.08.2022 10:26:39	1.8670797827638175	M2_Up	241
02.08.2022 10:27:16	0.3539807573805348	M2_Up	241
02.08.2022 10:30:42	0.01453429633863948	M2_Up	241
02.08.2022 10:50:42	0.006735083696005129	P+M	241
02.08.2022 11:02:23	0.013699291604666711	M1_Up	241
02.08.2022 11:04:14	0.39473754676529965	M1_Up	241
02.08.2022 11:05:19	1.7770679892518257	M1_Up	241
02.08.2022 11:05:57	0.3467480838435228	M1_Up	241
02.08.2022 11:08:14	0.017821602837646774	M1_Up	241
02.08.2022 20:04:14	0.0066350972719060415	P+M	241
02.08.2022 20:14:14	0.7290749151578227	P+M	241
03.08.2022 09:07:13	0.007331692141034096	P+M	241
03.08.2022 09:08:13	0.47981712899668827	P+M	241
03.08.2022 09:11:13	0.8690982998612176	P+M	241
03.08.2022 09:12:13	0.4809423462682721	P+M	241
03.08.2022 09:17:13	0.15388115310989317	P+M	241
03.08.2022 09:34:13	0.030326397375270767	P+M	241
03.08.2022 09:35:13	2.414385172913927e-05	P+M+C	241
03.08.2022 09:55:27	0.007923998396857791	P+M	241
03.08.2022 09:57:16	0.18129560508473203	P+M	241
03.08.2022 10:21:16	0.006487277848014323	P+M	241
03.08.2022 10:25:16	0.09822849644325676	P+M	241
03.08.2022 10:26:51	0.6152193198553759	P+M	241
03.08.2022 10:28:02	0.17030520681843675	P+M	241
03.08.2022 10:44:02	0.006221634263660427	P+M	241
03.08.2022 10:48:02	0.07071794274953769	P+M	241
03.08.2022 10:49:46	0.6413616145266334	P+M	241
03.08.2022 10:51:23	0.18993827488830267	P+M	241
03.08.2022 11:44:23	0.00583370361642266	P+M	241
03.08.2022 11:48:23	0.0643081711068865	P+M	241
03.08.2022 11:50:19	0.45891469055307765	P+M	241
03.08.2022 11:51:30	0.1783918890141124	P+M	241
03.08.2022 13:30:30	0.005780620890915576	P+M	241
03.08.2022 13:36:59	0.01780563611369439	P+M	241
03.08.2022 13:37:59	0.3926305233445332	P+M	241
03.08.2022 13:38:18	1.2400733478793742	P+M	241
03.08.2022 13:38:25	1.0985766645660202	P+M	241
03.08.2022 13:39:36	0.24624462314327467	P+M	241
03.08.2022 19:35:36	0.005697282381579295	P+M	241
03.08.2022 19:36:36	0.005656372377380749	P+M+C	241
03.08.2022 19:56:35	0.02708697461898761	P+M	241
03.08.2022 20:03:34	0.5282899126499776	P+M	241
03.08.2022 20:09:50	0.037495009841457476	P+M	241
03.08.2022 20:13:27	0.05920286728929539	M2_Up	241
03.08.2022 20:16:44	0.3891707814207383	M2_Up	241
03.08.2022 20:20:02	3.20290413988631	M2_Up	241
03.08.2022 20:20:47	0.3444814493464943	M2_Up	241
03.08.2022 20:25:39	0.013483301568514239	M2_Up	241
04.08.2022 08:28:38	0.005822008555966602	P+M	241
04.08.2022 08:30:38	0.007684370650875326	M1_Up	241
04.08.2022 08:38:38	0.00593157229635702	P+M	241
04.08.2022 08:51:38	0.03947683181421828	M1_Up	241
04.08.2022 08:53:31	0.9690276803706379	M1_Up	241
04.08.2022 08:55:45	3.621399542281203	M1_Up	241
04.08.2022 08:56:30	0.3508908511835264	M1_Up	241
04.08.2022 10:07:41	0.00755493786021721	M1_Up	241
04.08.2022 10:50:41	0.005683279115868357	P+M	241
04.08.2022 11:05:58	0.01268428495899435	P1_Up	241
04.08.2022 11:06:52	0.4003103307058257	P1_Up	241
04.08.2022 11:08:21	3.96821579871151	P1_Up	241
04.08.2022 11:09:12	0.3400733254713548	P1_Up	241
04.08.2022 11:14:11	0.014481132139777211	P1_Up	241
04.08.2022 11:23:11	0.005033406515002637	P+M	241
04.08.2022 11:30:11	0.00490632931316338	P+M	241
04.08.2022 11:36:11	0.0063102838009431025	P+M	241
04.08.2022 11:42:03	0.019306882220329894	P2_Up	241
04.08.2022 11:43:43	0.3994002217020297	P2_Up	241
04.08.2022 11:45:53	3.782076047995774	P2_Up	241
04.08.2022 11:46:47	0.3408051527844868	P2_Up	241
04.08.2022 11:48:31	0.022756669544052113	P2_Up	241
04.08.2022 13:06:31	0.005937908189950097	P+M	241
04.08.2022 13:08:31	0.007876774995807623	P+M+C	241
04.08.2022 13:21:31	0.005899976633283415	P+M	241
04.08.2022 13:30:08	0.018190540424754514	P+M+C	241
04.08.2022 13:32:13	0.39036711098283794	P+M+C	241
04.08.2022 13:34:14	3.032489661076426	P+M+C	241
04.08.2022 13:34:47	0.32724925856888015	P+M+C	241
04.08.2022 13:35:45	0.04004097022334253	P+M+C	241
05.08.2022 10:19:28	0.005500887514146737	P+M	241
05.08.2022 10:21:28	0.00641950336303199	P+M+C	241
05.08.2022 11:17:27	0.006253964248763331	P+M	241
05.08.2022 11:23:37	0.02059153709213811	P+M	235
05.08.2022 11:24:38	0.4005033659061059	P+M	235
05.08.2022 11:26:51	1.120615347262348	P+M	235
05.08.2022 11:27:41	0.5869334219756739	P+M	235
05.08.2022 11:28:44	0.2023309464382988	P+M	235
05.08.2022 11:47:53	0.009360213374678891	P+M	235
05.08.2022 11:49:53	0.004805733563887116	P+M	235
05.08.2022 11:55:53	0.03599741075669954	P+M	229
05.08.2022 11:57:36	0.6174814440968311	P+M	229
05.08.2022 12:00:44	1.669227834210935	P+M	229
05.08.2022 12:01:44	0.5526527450512801	P+M	229
05.08.2022 12:02:41	0.18231631333085294	P+M	229
05.08.2022 12:07:28	0.018445601278779748	P+M	229
06.08.2022 08:53:26	0.005758925039057263	P+M	229
06.08.2022 08:55:26	0.006429223273990026	P+M	229
06.08.2022 08:56:26	0.007310785298795328	P+M	229
06.08.2022 08:57:26	0.007792327043400359	P+M	229
06.08.2022 09:03:54	0.016156506085903903	P+M	223
06.08.2022 09:04:59	0.39278399120619195	P+M	223
06.08.2022 09:08:28	2.9430230881801713	P+M	223
06.08.2022 09:09:21	0.6640192342461414	P+M	223
06.08.2022 09:10:36	0.2244824298812937	P+M	223
06.08.2022 09:27:20	0.01238589491955053	P+M	223
06.08.2022 09:31:20	0.008383864200541323	P+M	223
06.08.2022 09:36:48	0.022791855490344425	P+M	217
06.08.2022 09:37:41	0.38882181063416665	P+M	217
06.08.2022 09:41:25	3.0711846917635706	P+M	217
06.08.2022 09:42:20	0.6262244455769818	P+M	217
06.08.2022 09:43:29	0.19712859478624728	P+M	217
06.08.2022 09:53:43	0.017139736132079513	P+M	217
06.08.2022 09:54:43	0.005417339382019418	P+M	217
06.08.2022 17:25:43	0.0058509871398486875	P+M	217
06.08.2022 17:27:43	0.006734487583139136	P+M	217
06.08.2022 17:30:43	0.008763413136517092	P+M	217
06.08.2022 17:34:43	0.009154361168291872	P+M	217
06.08.2022 17:47:43	0.0377696335536818	P+M	217
06.08.2022 17:49:43	0.7593999766604802	P+M	217
06.08.2022 17:57:43	1.0810513356076126	P+M	217
06.08.2022 18:02:43	0.20644865637875073	P+M	217
06.08.2022 20:11:43	0.025437698967486534	P+M	217
06.08.2022 20:12:43	0.007597189011056576	P+M	217
06.08.2022 20:13:43	0.006994676031638834	P+M	217
06.08.2022 20:15:43	0.006785905941459637	P+M	217
07.08.2022 09:09:42	0.006106597376318258	P+M	217
07.08.2022 09:12:42	0.009241670458697252	P+M	217
07.08.2022 09:17:42	0.03804392630532649	P+M	211
07.08.2022 09:19:30	0.4280812450284477	P+M	211
07.08.2022 09:24:04	3.5813824919560537	P+M	211
07.08.2022 09:25:21	0.5715814747406908	P+M	211
